0,110,110,110,11,11,11,11,11,11,11,11,110,110,110,0
110,110,110,11,11,11,101,101,101,101,11,11,11,110,110,110
110,110,11,11,11,11,11,101,101,11,11,11,11,11,110,110
11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,11
11,11,11,1,1,1,1,1,1,1,1,1,1,11,11,11
11,11,11,1,1,1,1,1,1,1,1,1,1,11,11,11
11,11,11,1,1,1,1,1,1,1,1,1,1,11,11,11
11,11,11,11,1,1,1,1,1,1,1,1,11,11,11,11
11,11,11,11,11,1,1,1,1,1,1,11,11,11,11,11
11,11,11,11,11,101,101,101,101,101,101,11,11,11,11,11
11,11,11,11,11,101,11,11,11,11,101,11,11,11,11,11
0,11,11,101,101,11,11,101,101,11,11,101,101,11,11,0
0,11,11,101,101,11,101,11,11,101,11,101,101,11,11,0
0,11,101,101,101,11,101,11,11,101,11,101,101,101,11,0
0,11,101,101,101,11,11,11,11,101,11,101,101,101,11,0
0,101,101,11,101,11,11,101,101,11,11,101,11,101,101,0
0,101,101,11,101,11,11,11,11,101,11,101,11,101,101,0
0,101,11,11,101,11,101,11,11,101,11,101,11,11,101,0
0,101,11,101,101,11,101,11,11,101,11,101,101,11,101,0
0,11,11,101,101,11,11,101,101,11,11,101,101,11,11,0
0,11,101,101,11,101,11,11,11,11,101,11,101,101,11,0
0,11,101,101,11,101,101,101,101,101,101,11,101,101,11,0
0,101,101,11,11,11,11,11,11,11,11,11,11,101,101,0
0,101,101,11,11,1,1,1,1,1,1,11,11,101,101,0
101,101,11,1,1,1,1,1,1,1,1,1,1,11,101,101
101,101,11,1,1,1,1,1,1,1,1,1,1,11,101,101
101,11,11,1,1,1,1,1,1,1,1,1,1,11,11,101
101,11,11,11,11,11,11,101,101,11,11,11,11,11,11,101
11,11,11,11,11,11,11,101,101,11,11,11,11,11,11,11
11,11,11,11,11,11,101,101,101,101,11,11,11,11,11,11
110,11,11,11,11,11,101,101,101,101,11,11,11,11,11,110
110,110,11,11,11,11,11,11,11,11,11,11,11,11,110,110
